product_name,category,region_name,supplier_name,reliability,year,month,month_name,quarter,quantity_ordered,total_cost,lead_time_days,actual_delivery_days,delay_days,is_delayed,warehouse_stock
Laptop,Computing,North,Fastsupply Co,Medium,2022,1,January,1,28,34636.28,23,23,0,0,192
Laptop,Computing,North,Reliablegoods,Medium,2022,1,January,1,114,106189.86,19,19,0,0,948
Camera,Imaging,East,Techcorp India,Low,2022,1,January,1,205,322836.05,33,41,8,1,455
Keyboard,Accessories,North,Quickship Asia,Medium,2022,1,January,1,247,82241.12,11,11,0,0,589
Monitor,Computing,South,Techcorp India,Low,2022,1,January,1,266,22668.52,40,40,0,0,112
Phone,Mobile,East,Reliablegoods,Medium,2022,1,January,1,88,51781.84,30,35,5,1,454
Mouse,Accessories,West,Quickship Asia,Medium,2022,1,January,1,249,363694.38,11,11,0,0,510
Monitor,Computing,Central,Globalparts Ltd,Medium,2022,1,January,1,90,164694.6,14,16,2,1,958
Mouse,Accessories,South,Fastsupply Co,Medium,2022,1,January,1,227,425588.68,16,16,0,0,150
Monitor,Computing,South,Globalparts Ltd,Medium,2022,1,January,1,337,20341.32,33,33,0,0,241
Headphones,Audio,Central,Quickship Asia,Medium,2022,1,January,1,56,54102.16,35,35,0,0,870
Laptop,Computing,South,Reliablegoods,Medium,2022,1,January,1,326,293657.54,22,22,0,0,647
Camera,Imaging,South,Reliablegoods,Medium,2022,1,January,1,297,482782.41,15,15,0,0,985
Laptop,Computing,East,Reliablegoods,Medium,2022,1,January,1,58,69671.92,34,34,0,0,261
Monitor,Computing,South,Techcorp India,Low,2022,1,January,1,414,769485.24,23,29,6,1,283
Headphones,Audio,East,Quickship Asia,Medium,2022,1,January,1,332,622722.44,4,11,7,1,341
Headphones,Audio,North,Fastsupply Co,Medium,2022,1,January,1,75,98985.0,10,10,0,0,339
Tablet,Mobile,Central,Techcorp India,Low,2022,1,January,1,65,129774.45,42,42,0,0,244
Headphones,Audio,West,Fastsupply Co,Medium,2022,1,January,1,353,100131.98,28,28,0,0,376
Keyboard,Accessories,South,Techcorp India,Low,2022,1,January,1,365,585883.4,42,42,0,0,955
Camera,Imaging,North,Quickship Asia,Medium,2022,1,January,1,75,70039.5,21,21,0,0,301
Tablet,Mobile,East,Quickship Asia,Medium,2022,1,January,1,195,342020.25,26,26,0,0,96
Mouse,Accessories,East,Reliablegoods,Medium,2022,1,January,1,198,268575.12,35,35,0,0,69
Monitor,Computing,East,Techcorp India,Low,2022,1,January,1,240,26176.8,16,16,0,0,712
Printer,Imaging,East,Fastsupply Co,Medium,2022,1,January,1,178,222873.8,27,27,0,0,34
Monitor,Computing,Central,Fastsupply Co,Medium,2022,1,January,1,49,35758.73,44,44,0,0,708
Tablet,Mobile,West,Globalparts Ltd,Medium,2022,1,January,1,320,562230.4,3,3,0,0,622
Keyboard,Accessories,West,Fastsupply Co,Medium,2022,1,January,1,114,155871.06,20,20,0,0,121
Laptop,Computing,Central,Reliablegoods,Medium,2022,1,January,1,435,502111.8,5,5,0,0,528
Laptop,Computing,Central,Fastsupply Co,Medium,2022,1,January,1,243,352004.94,21,21,0,0,812
Mouse,Accessories,South,Fastsupply Co,Medium,2022,1,January,1,312,327369.12,27,27,0,0,532
Speaker,Audio,Central,Globalparts Ltd,Medium,2022,1,January,1,200,272938.0,17,18,1,1,129
Tablet,Mobile,North,Quickship Asia,Medium,2022,1,January,1,128,242021.12,36,36,0,0,506
Camera,Imaging,Central,Techcorp India,Low,2022,1,January,1,279,173217.15,32,32,0,0,898
Printer,Imaging,South,Fastsupply Co,Medium,2022,1,January,1,234,287246.7,17,17,0,0,557
Camera,Imaging,West,Reliablegoods,Medium,2022,1,January,1,120,204616.8,24,31,7,1,996
Camera,Imaging,Central,Quickship Asia,Medium,2022,1,January,1,86,55616.2,23,32,9,1,474
Tablet,Mobile,West,Quickship Asia,Medium,2022,1,January,1,390,627720.6,24,24,0,0,976
Phone,Mobile,Central,Fastsupply Co,Medium,2022,1,January,1,123,159304.68,31,31,0,0,227
Mouse,Accessories,Central,Globalparts Ltd,Medium,2022,1,January,1,126,230346.9,4,4,0,0,577
Phone,Mobile,South,Globalparts Ltd,Medium,2022,1,January,1,456,235519.44,22,22,0,0,350
Keyboard,Accessories,West,Quickship Asia,Medium,2022,1,January,1,148,272337.76,27,27,0,0,510
Tablet,Mobile,South,Techcorp India,Low,2022,1,January,1,50,52149.0,8,15,7,1,220
Monitor,Computing,South,Fastsupply Co,Medium,2022,1,January,1,383,633612.22,18,24,6,1,904
Phone,Mobile,South,Fastsupply Co,Medium,2022,1,January,1,405,789741.9,22,22,0,0,466
Mouse,Accessories,South,Techcorp India,Low,2022,1,January,1,368,489226.56,9,17,8,1,14
Phone,Mobile,Central,Reliablegoods,Medium,2022,1,January,1,295,579722.2,40,40,0,0,531
Laptop,Computing,North,Techcorp India,Low,2022,1,January,1,471,735494.76,36,36,0,0,113
Printer,Imaging,South,Quickship Asia,Medium,2022,1,January,1,404,295182.6,16,18,2,1,813
Headphones,Audio,North,Quickship Asia,Medium,2022,1,January,1,249,58121.58,20,29,9,1,852
Speaker,Audio,North,Quickship Asia,Medium,2022,1,January,1,112,188880.16,6,6,0,0,465
Monitor,Computing,South,Globalparts Ltd,Medium,2022,1,January,1,193,25221.24,12,12,0,0,161
Camera,Imaging,North,Reliablegoods,Medium,2022,1,January,1,475,634182.0,18,32,14,1,917
Mouse,Accessories,Central,Techcorp India,Low,2022,1,January,1,303,141743.4,25,25,0,0,622
Keyboard,Accessories,North,Techcorp India,Low,2022,1,January,1,290,458156.5,10,13,3,1,560
Monitor,Computing,South,Reliablegoods,Medium,2022,1,January,1,349,139708.19,37,37,0,0,49
Camera,Imaging,Central,Quickship Asia,Medium,2022,1,January,1,43,72028.87,34,34,0,0,954
Printer,Imaging,West,Quickship Asia,Medium,2022,1,January,1,352,448243.84,5,5,0,0,991
Printer,Imaging,South,Globalparts Ltd,Medium,2022,1,January,1,267,372214.02,43,43,0,0,724
Speaker,Audio,Central,Reliablegoods,Medium,2022,1,January,1,387,740222.64,9,22,13,1,647
Tablet,Mobile,North,Quickship Asia,Medium,2022,1,January,1,313,561669.11,26,29,3,1,464
Monitor,Computing,North,Globalparts Ltd,Medium,2022,1,January,1,308,315428.96,16,16,0,0,266
Camera,Imaging,South,Techcorp India,Low,2022,1,January,1,168,151515.84,26,26,0,0,218
Keyboard,Accessories,Central,Fastsupply Co,Medium,2022,1,January,1,308,79137.52,19,19,0,0,612
Camera,Imaging,Central,Globalparts Ltd,Medium,2022,1,January,1,299,88088.39,14,14,0,0,364
Phone,Mobile,Central,Quickship Asia,Medium,2022,1,January,1,354,354637.2,3,3,0,0,809
Keyboard,Accessories,East,Fastsupply Co,Medium,2022,1,January,1,110,103881.8,10,10,0,0,916
Laptop,Computing,East,Fastsupply Co,Medium,2022,1,January,1,195,85287.15,35,35,0,0,433
Headphones,Audio,South,Fastsupply Co,Medium,2022,1,January,1,214,240692.22,35,35,0,0,176
Laptop,Computing,West,Globalparts Ltd,Medium,2022,1,January,1,305,571133.85,20,20,0,0,174
Phone,Mobile,Central,Globalparts Ltd,Medium,2022,1,January,1,405,43023.15,32,32,0,0,305
Monitor,Computing,North,Techcorp India,Low,2022,1,January,1,234,402131.34,4,4,0,0,804
Monitor,Computing,East,Fastsupply Co,Medium,2022,1,January,1,439,282904.77,14,14,0,0,112
Camera,Imaging,East,Globalparts Ltd,Medium,2022,1,January,1,473,177734.48,29,29,0,0,575
Mouse,Accessories,East,Globalparts Ltd,Medium,2022,1,January,1,447,602623.05,30,30,0,0,943
Mouse,Accessories,West,Reliablegoods,Medium,2022,1,January,1,223,38498.72,17,17,0,0,701
Laptop,Computing,South,Quickship Asia,Medium,2022,1,January,1,118,73495.12,35,45,10,1,309
Tablet,Mobile,East,Reliablegoods,Medium,2022,1,January,1,18,22008.6,28,28,0,0,992
Mouse,Accessories,East,Globalparts Ltd,Medium,2022,1,January,1,463,542145.22,9,9,0,0,530
Mouse,Accessories,East,Quickship Asia,Medium,2022,1,January,1,288,416704.32,29,29,0,0,871
Speaker,Audio,Central,Reliablegoods,Medium,2022,2,February,1,437,522652.0,20,20,0,0,0
Printer,Imaging,West,Fastsupply Co,Medium,2022,2,February,1,24,33332.16,20,20,0,0,380
Speaker,Audio,Central,Techcorp India,Low,2022,2,February,1,245,343842.8,31,41,10,1,941
Tablet,Mobile,Central,Fastsupply Co,Medium,2022,2,February,1,342,278918.1,4,4,0,0,127
Keyboard,Accessories,West,Reliablegoods,Medium,2022,2,February,1,32,26486.4,17,17,0,0,201
Printer,Imaging,South,Quickship Asia,Medium,2022,2,February,1,248,395433.52,4,14,10,1,151
Mouse,Accessories,North,Techcorp India,Low,2022,2,February,1,396,641963.52,30,30,0,0,511
Camera,Imaging,Central,Fastsupply Co,Medium,2022,2,February,1,312,526899.36,31,31,0,0,747
Laptop,Computing,West,Techcorp India,Low,2022,2,February,1,219,13256.07,35,36,1,1,523
Printer,Imaging,West,Techcorp India,Low,2022,2,February,1,226,208896.32,28,31,3,1,619
Keyboard,Accessories,Central,Fastsupply Co,Medium,2022,2,February,1,132,71099.16,30,30,0,0,640
Mouse,Accessories,North,Fastsupply Co,Medium,2022,2,February,1,435,494229.6,35,35,0,0,533
Printer,Imaging,South,Techcorp India,Low,2022,2,February,1,208,200643.04,34,34,0,0,188
Phone,Mobile,West,Techcorp India,Low,2022,2,February,1,307,197683.44,14,14,0,0,411
Mouse,Accessories,East,Globalparts Ltd,Medium,2022,2,February,1,19,3230.76,27,27,0,0,541
Printer,Imaging,East,Techcorp India,Low,2022,2,February,1,371,160134.73,7,12,5,1,702
Keyboard,Accessories,North,Quickship Asia,Medium,2022,2,February,1,371,692148.73,28,37,9,1,967
Printer,Imaging,North,Fastsupply Co,Medium,2022,2,February,1,243,417680.55,21,21,0,0,209
Phone,Mobile,Central,Globalparts Ltd,Medium,2022,2,February,1,426,134875.86,36,36,0,0,51
Printer,Imaging,North,Quickship Asia,Medium,2022,2,February,1,372,470029.44,19,19,0,0,219
Tablet,Mobile,North,Reliablegoods,Medium,2022,2,February,1,390,384095.4,39,39,0,0,734
Camera,Imaging,North,Fastsupply Co,Medium,2022,2,February,1,61,77202.21,23,23,0,0,526
Camera,Imaging,West,Quickship Asia,Medium,2022,2,February,1,309,333185.43,5,5,0,0,677
Phone,Mobile,East,Techcorp India,Low,2022,2,February,1,147,121598.4,3,3,0,0,807
Monitor,Computing,Central,Globalparts Ltd,Medium,2022,2,February,1,162,129339.18,25,25,0,0,717
Keyboard,Accessories,East,Fastsupply Co,Medium,2022,2,February,1,447,122098.05,41,41,0,0,742
Mouse,Accessories,South,Quickship Asia,Medium,2022,2,February,1,265,293612.05,5,5,0,0,782
Laptop,Computing,West,Reliablegoods,Medium,2022,2,February,1,368,493362.88,28,36,8,1,961
Keyboard,Accessories,Central,Quickship Asia,Medium,2022,2,February,1,215,282486.35,28,28,0,0,582
Camera,Imaging,West,Techcorp India,Low,2022,2,February,1,291,268753.05,39,39,0,0,274
Printer,Imaging,Central,Fastsupply Co,Medium,2022,2,February,1,373,243244.49,20,20,0,0,68
Phone,Mobile,West,Techcorp India,Low,2022,2,February,1,119,165832.45,41,41,0,0,903
Mouse,Accessories,South,Globalparts Ltd,Medium,2022,2,February,1,34,10065.02,15,15,0,0,291
Camera,Imaging,East,Reliablegoods,Medium,2022,2,February,1,277,113999.35,31,31,0,0,90
Phone,Mobile,South,Techcorp India,Low,2022,2,February,1,118,111653.96,38,38,0,0,802
Keyboard,Accessories,East,Reliablegoods,Medium,2022,2,February,1,284,448779.64,19,27,8,1,5
Keyboard,Accessories,Central,Reliablegoods,Medium,2022,2,February,1,268,77639.6,4,4,0,0,963
Mouse,Accessories,Central,Techcorp India,Low,2022,2,February,1,29,40121.21,11,23,12,1,855
Keyboard,Accessories,North,Techcorp India,Low,2022,2,February,1,358,125511.22,8,16,8,1,514
Printer,Imaging,Central,Techcorp India,Low,2022,2,February,1,334,33072.68,22,28,6,1,31
Phone,Mobile,East,Reliablegoods,Medium,2022,2,February,1,294,255136.14,44,44,0,0,208
Tablet,Mobile,South,Quickship Asia,Medium,2022,2,February,1,84,141554.28,6,6,0,0,781
Mouse,Accessories,South,Techcorp India,Low,2022,2,February,1,86,44562.62,13,13,0,0,507
Printer,Imaging,West,Fastsupply Co,Medium,2022,2,February,1,213,243028.74,12,12,0,0,917
Mouse,Accessories,Central,Techcorp India,Low,2022,2,February,1,296,103188.56,20,28,8,1,445
Phone,Mobile,North,Techcorp India,Low,2022,2,February,1,86,87546.28,11,15,4,1,307
Tablet,Mobile,West,Reliablegoods,Medium,2022,2,February,1,140,180107.2,39,40,1,1,392
Laptop,Computing,South,Fastsupply Co,Medium,2022,2,February,1,381,256931.16,20,20,0,0,602
Headphones,Audio,West,Reliablegoods,Medium,2022,2,February,1,473,391970.37,5,5,0,0,389
Keyboard,Accessories,South,Globalparts Ltd,Medium,2022,2,February,1,61,99451.35,29,29,0,0,330
Headphones,Audio,South,Reliablegoods,Medium,2022,2,February,1,140,45803.8,36,47,11,1,486
Mouse,Accessories,West,Fastsupply Co,Medium,2022,2,February,1,15,19278.9,10,10,0,0,887
Keyboard,Accessories,South,Reliablegoods,Medium,2022,2,February,1,79,82916.82,23,23,0,0,858
Printer,Imaging,East,Globalparts Ltd,Medium,2022,2,February,1,29,8068.96,28,28,0,0,622
Mouse,Accessories,South,Globalparts Ltd,Medium,2022,2,February,1,19,23474.88,27,27,0,0,802
Phone,Mobile,South,Quickship Asia,Medium,2022,2,February,1,455,79188.2,4,4,0,0,277
Monitor,Computing,North,Fastsupply Co,Medium,2022,2,February,1,491,797541.12,15,15,0,0,527
Camera,Imaging,East,Globalparts Ltd,Medium,2022,2,February,1,142,61779.94,38,38,0,0,436
Monitor,Computing,South,Globalparts Ltd,Medium,2022,2,February,1,192,203975.04,27,37,10,1,527
Mouse,Accessories,East,Reliablegoods,Medium,2022,2,February,1,287,404968.48,6,12,6,1,653
Mouse,Accessories,Central,Techcorp India,Low,2022,2,February,1,176,217585.28,12,12,0,0,10
Monitor,Computing,Central,Globalparts Ltd,Medium,2022,2,February,1,250,79157.5,10,10,0,0,697
Keyboard,Accessories,South,Quickship Asia,Medium,2022,2,February,1,280,438614.4,36,36,0,0,785
Printer,Imaging,South,Quickship Asia,Medium,2022,2,February,1,32,30854.4,36,36,0,0,444
Headphones,Audio,North,Fastsupply Co,Medium,2022,2,February,1,436,38847.6,23,23,0,0,923
Headphones,Audio,West,Globalparts Ltd,Medium,2022,2,February,1,463,764459.3,21,21,0,0,854
Laptop,Computing,West,Techcorp India,Low,2022,2,February,1,242,157665.42,7,7,0,0,562
Speaker,Audio,South,Reliablegoods,Medium,2022,2,February,1,193,55800.16,15,15,0,0,85
Phone,Mobile,West,Reliablegoods,Medium,2022,2,February,1,249,259634.79,29,29,0,0,617
Phone,Mobile,South,Reliablegoods,Medium,2022,2,February,1,465,655840.65,4,4,0,0,679
Keyboard,Accessories,South,Techcorp India,Low,2022,2,February,1,95,159579.1,24,25,1,1,666
Tablet,Mobile,West,Quickship Asia,Medium,2022,2,February,1,97,145793.91,24,24,0,0,270
Keyboard,Accessories,South,Quickship Asia,Medium,2022,2,February,1,105,70073.85,4,4,0,0,295
Monitor,Computing,North,Globalparts Ltd,Medium,2022,2,February,1,384,360771.84,10,10,0,0,763
Keyboard,Accessories,North,Techcorp India,Low,2022,2,February,1,368,97630.4,20,20,0,0,922
Monitor,Computing,Central,Fastsupply Co,Medium,2022,2,February,1,167,13595.47,30,30,0,0,351
Printer,Imaging,South,Reliablegoods,Medium,2022,2,February,1,210,136972.5,42,42,0,0,398
Headphones,Audio,Central,Quickship Asia,Medium,2022,2,February,1,184,324726.88,15,15,0,0,16
Monitor,Computing,West,Quickship Asia,Medium,2022,2,February,1,77,11718.63,42,42,0,0,108
Phone,Mobile,Central,Fastsupply Co,Medium,2022,2,February,1,158,252498.22,18,18,0,0,222
Tablet,Mobile,South,Techcorp India,Low,2022,2,February,1,431,786898.25,30,43,13,1,787
Mouse,Accessories,Central,Globalparts Ltd,Medium,2022,2,February,1,410,664638.7,40,40,0,0,288
Keyboard,Accessories,Central,Globalparts Ltd,Medium,2022,2,February,1,19,27173.42,14,14,0,0,30
Printer,Imaging,West,Fastsupply Co,Medium,2022,2,February,1,48,84999.36,20,21,1,1,603
Printer,Imaging,South,Quickship Asia,Medium,2022,2,February,1,287,166735.52,24,24,0,0,782
Camera,Imaging,East,Reliablegoods,Medium,2022,2,February,1,33,7990.95,19,22,3,1,663
Monitor,Computing,North,Fastsupply Co,Medium,2022,2,February,1,16,17257.92,6,6,0,0,572
Printer,Imaging,West,Globalparts Ltd,Medium,2022,2,February,1,387,134188.38,8,10,2,1,827
Camera,Imaging,North,Globalparts Ltd,Medium,2022,2,February,1,77,64230.32,9,9,0,0,286
Phone,Mobile,North,Techcorp India,Low,2022,3,March,1,128,120121.6,18,18,0,0,666
Printer,Imaging,South,Techcorp India,Low,2022,3,March,1,279,416334.96,10,10,0,0,883
Phone,Mobile,Central,Fastsupply Co,Medium,2022,3,March,1,85,75604.1,17,24,7,1,613
Camera,Imaging,East,Globalparts Ltd,Medium,2022,3,March,1,328,624941.68,19,19,0,0,23
Headphones,Audio,South,Quickship Asia,Medium,2022,3,March,1,387,259595.73,23,23,0,0,918
Mouse,Accessories,North,Techcorp India,Low,2022,3,March,1,288,295387.2,38,38,0,0,259
Mouse,Accessories,South,Techcorp India,Low,2022,3,March,1,496,92618.08,35,35,0,0,281
Phone,Mobile,North,Quickship Asia,Medium,2022,3,March,1,409,355371.92,30,30,0,0,705
Headphones,Audio,South,Fastsupply Co,Medium,2022,3,March,1,103,128771.63,44,44,0,0,171
Headphones,Audio,North,Quickship Asia,Medium,2022,3,March,1,271,53709.49,16,16,0,0,168
Phone,Mobile,North,Globalparts Ltd,Medium,2022,3,March,1,467,597423.76,22,22,0,0,153
Camera,Imaging,West,Techcorp India,Low,2022,3,March,1,66,14897.52,8,8,0,0,993
Monitor,Computing,East,Globalparts Ltd,Medium,2022,3,March,1,475,743755.0,5,5,0,0,648
Printer,Imaging,West,Reliablegoods,Medium,2022,3,March,1,161,295269.17,27,27,0,0,420
Laptop,Computing,East,Quickship Asia,Medium,2022,3,March,1,15,1000.65,16,16,0,0,133
Phone,Mobile,West,Reliablegoods,Medium,2022,3,March,1,346,474677.4,31,31,0,0,639
Laptop,Computing,North,Quickship Asia,Medium,2022,3,March,1,198,278338.5,3,3,0,0,846
Printer,Imaging,South,Globalparts Ltd,Medium,2022,3,March,1,434,299091.1,10,10,0,0,669
Laptop,Computing,North,Globalparts Ltd,Medium,2022,3,March,1,145,145242.15,7,7,0,0,822
Headphones,Audio,West,Quickship Asia,Medium,2022,3,March,1,299,513305.26,5,10,5,1,502
Laptop,Computing,West,Fastsupply Co,Medium,2022,3,March,1,397,694896.89,19,19,0,0,689
Keyboard,Accessories,West,Techcorp India,Low,2022,3,March,1,335,163255.55,38,38,0,0,983
Camera,Imaging,South,Fastsupply Co,Medium,2022,3,March,1,475,578236.5,30,30,0,0,186
Phone,Mobile,North,Quickship Asia,Medium,2022,3,March,1,258,164075.1,3,5,2,1,85
Headphones,Audio,East,Globalparts Ltd,Medium,2022,3,March,1,314,257523.96,28,28,0,0,188
Camera,Imaging,East,Fastsupply Co,Medium,2022,3,March,1,87,162186.27,43,43,0,0,661
Camera,Imaging,Central,Quickship Asia,Medium,2022,3,March,1,333,656952.39,19,19,0,0,371
Mouse,Accessories,West,Globalparts Ltd,Medium,2022,3,March,1,369,100091.25,18,22,4,1,894
Mouse,Accessories,East,Quickship Asia,Medium,2022,3,March,1,414,116255.34,12,18,6,1,418
Phone,Mobile,South,Globalparts Ltd,Medium,2022,3,March,1,410,305413.1,20,28,8,1,846
Printer,Imaging,South,Quickship Asia,Medium,2022,3,March,1,365,567034.8,36,36,0,0,491
Camera,Imaging,West,Globalparts Ltd,Medium,2022,3,March,1,405,756803.25,5,5,0,0,806
Speaker,Audio,Central,Quickship Asia,Medium,2022,3,March,1,367,644125.37,30,30,0,0,297
Speaker,Audio,East,Techcorp India,Low,2022,3,March,1,263,409825.01,25,25,0,0,746
Tablet,Mobile,Central,Techcorp India,Low,2022,3,March,1,262,160344.0,23,23,0,0,33
Camera,Imaging,West,Fastsupply Co,Medium,2022,3,March,1,32,38206.72,16,21,5,1,789
Mouse,Accessories,East,Globalparts Ltd,Medium,2022,3,March,1,122,9871.02,7,7,0,0,152
Mouse,Accessories,Central,Reliablegoods,Medium,2022,3,March,1,162,305404.02,42,42,0,0,979
Printer,Imaging,South,Reliablegoods,Medium,2022,3,March,1,197,22777.14,28,28,0,0,565
Headphones,Audio,South,Techcorp India,Low,2022,3,March,1,287,203589.19,36,36,0,0,377
Monitor,Computing,Central,Fastsupply Co,Medium,2022,3,March,1,97,82255.03,30,30,0,0,984
Camera,Imaging,East,Quickship Asia,Medium,2022,3,March,1,339,84346.59,12,12,0,0,707
Phone,Mobile,North,Fastsupply Co,Medium,2022,3,March,1,306,466279.74,40,54,14,1,459
Laptop,Computing,Central,Reliablegoods,Medium,2022,3,March,1,419,649244.69,18,18,0,0,299
Mouse,Accessories,Central,Globalparts Ltd,Medium,2022,3,March,1,313,609292.06,35,45,10,1,619
Keyboard,Accessories,South,Techcorp India,Low,2022,3,March,1,210,206637.9,18,18,0,0,696
Phone,Mobile,South,Techcorp India,Low,2022,3,March,1,148,211117.56,8,8,0,0,857
Speaker,Audio,West,Fastsupply Co,Medium,2022,3,March,1,124,247104.72,44,44,0,0,492
Printer,Imaging,East,Reliablegoods,Medium,2022,3,March,1,266,437290.7,14,16,2,1,72
Phone,Mobile,Central,Globalparts Ltd,Medium,2022,3,March,1,203,349470.59,39,39,0,0,340
Headphones,Audio,South,Globalparts Ltd,Medium,2022,3,March,1,130,83436.6,17,17,0,0,924
Mouse,Accessories,North,Techcorp India,Low,2022,3,March,1,440,504178.4,21,21,0,0,73
Phone,Mobile,East,Techcorp India,Low,2022,3,March,1,384,417262.08,30,35,5,1,312
Tablet,Mobile,East,Techcorp India,Low,2022,3,March,1,363,50086.74,30,36,6,1,465
Printer,Imaging,South,Reliablegoods,Medium,2022,3,March,1,335,17781.8,23,35,12,1,45
Keyboard,Accessories,West,Techcorp India,Low,2022,3,March,1,82,121405.92,27,34,7,1,738
Keyboard,Accessories,West,Fastsupply Co,Medium,2022,3,March,1,32,39124.8,6,6,0,0,657
Phone,Mobile,East,Reliablegoods,Medium,2022,3,March,1,211,418320.16,31,31,0,0,300
Camera,Imaging,North,Quickship Asia,Medium,2022,3,March,1,178,282057.02,9,15,6,1,922
Mouse,Accessories,South,Techcorp India,Low,2022,3,March,1,345,263421.3,25,26,1,1,300
Laptop,Computing,Central,Quickship Asia,Medium,2022,3,March,1,360,310770.0,20,20,0,0,824
Speaker,Audio,South,Quickship Asia,Medium,2022,3,March,1,251,175406.33,42,42,0,0,743
Tablet,Mobile,Central,Techcorp India,Low,2022,3,March,1,459,175438.98,14,14,0,0,362
Headphones,Audio,Central,Fastsupply Co,Medium,2022,3,March,1,321,190985.37,10,10,0,0,348
Printer,Imaging,North,Globalparts Ltd,Medium,2022,3,March,1,262,243560.44,28,28,0,0,566
Mouse,Accessories,East,Fastsupply Co,Medium,2022,3,March,1,256,40629.76,9,17,8,1,380
Tablet,Mobile,South,Globalparts Ltd,Medium,2022,3,March,1,336,357876.96,21,21,0,0,357
Laptop,Computing,North,Globalparts Ltd,Medium,2022,3,March,1,423,762372.9,37,37,0,0,296
Headphones,Audio,North,Fastsupply Co,Medium,2022,3,March,1,302,207537.42,31,31,0,0,63
Monitor,Computing,West,Techcorp India,Low,2022,3,March,1,42,78358.56,23,23,0,0,541
Mouse,Accessories,West,Fastsupply Co,Medium,2022,3,March,1,114,166406.94,32,32,0,0,867
Printer,Imaging,South,Fastsupply Co,Medium,2022,3,March,1,421,141653.87,41,41,0,0,491
Speaker,Audio,South,Globalparts Ltd,Medium,2022,3,March,1,422,670996.88,43,43,0,0,289
Mouse,Accessories,West,Quickship Asia,Medium,2022,3,March,1,281,199667.36,25,25,0,0,165
Headphones,Audio,Central,Techcorp India,Low,2022,3,March,1,445,639331.5,24,24,0,0,147
Headphones,Audio,West,Reliablegoods,Medium,2022,3,March,1,496,327801.44,39,39,0,0,44
Mouse,Accessories,West,Reliablegoods,Medium,2022,4,April,2,295,339303.1,21,21,0,0,690
Keyboard,Accessories,South,Globalparts Ltd,Medium,2022,4,April,2,15,14893.05,10,11,1,1,890
Phone,Mobile,North,Globalparts Ltd,Medium,2022,4,April,2,189,254093.49,27,27,0,0,548
Phone,Mobile,West,Reliablegoods,Medium,2022,4,April,2,412,343884.04,8,15,7,1,494
Printer,Imaging,South,Techcorp India,Low,2022,4,April,2,315,104305.95,39,39,0,0,839
Printer,Imaging,North,Fastsupply Co,Medium,2022,4,April,2,205,181388.1,22,22,0,0,522
Monitor,Computing,Central,Quickship Asia,Medium,2022,4,April,2,332,361584.52,4,7,3,1,260
Keyboard,Accessories,Central,Quickship Asia,Medium,2022,4,April,2,431,559248.36,19,19,0,0,777
