order_id,date_id,product_id,supplier_id,region_id,quantity_ordered,unit_cost,total_cost,lead_time_days,actual_delivery_days,delay_days,is_delayed,warehouse_stock
ORD-01232,20220223,3,5,3,368,265.3,97630.4,20,20,0,0,922
ORD-01536,20220223,5,1,1,167,81.41,13595.47,30,30,0,0,351
ORD-01217,20220224,8,4,4,210,652.25,136972.5,42,42,0,0,398
ORD-01354,20220224,2,3,1,184,1764.82,324726.88,15,15,0,0,16
ORD-01223,20220224,5,3,5,77,152.19,11718.63,42,42,0,0,108
ORD-00870,20220225,7,1,1,158,1598.09,252498.22,18,18,0,0,222
ORD-00855,20220225,10,5,4,431,1825.75,786898.25,30,43,13,1,787
ORD-00660,20220227,6,2,1,410,1621.07,664638.7,40,40,0,0,288
ORD-00644,20220227,3,2,1,19,1430.18,27173.42,14,14,0,0,30
ORD-00443,20220227,8,1,5,48,1770.82,84999.36,20,21,1,1,603
ORD-00436,20220227,8,3,4,287,580.96,166735.52,24,24,0,0,782
ORD-01981,20220228,1,4,2,33,242.15,7990.95,19,22,3,1,663
ORD-00034,20220228,5,1,3,16,1078.62,17257.92,6,6,0,0,572
ORD-01285,20220228,8,2,5,387,346.74,134188.38,8,10,2,1,827
ORD-01867,20220228,1,2,3,77,834.16,64230.32,9,9,0,0,286
ORD-01733,20220301,7,5,3,128,938.45,120121.6,18,18,0,0,666
ORD-01508,20220302,8,5,4,279,1492.24,416334.96,10,10,0,0,883
ORD-01379,20220302,7,1,1,85,889.46,75604.1,17,24,7,1,613
ORD-00830,20220302,1,2,2,328,1905.31,624941.68,19,19,0,0,23
ORD-00554,20220303,2,3,4,387,670.79,259595.73,23,23,0,0,918
ORD-01547,20220303,6,5,3,288,1025.65,295387.2,38,38,0,0,259
ORD-01516,20220303,6,5,4,496,186.73,92618.08,35,35,0,0,281
ORD-01185,20220304,7,3,3,409,868.88,355371.92,30,30,0,0,705
ORD-00731,20220304,2,1,4,103,1250.21,128771.63,44,44,0,0,171
ORD-00105,20220304,2,3,3,271,198.19,53709.49,16,16,0,0,168
ORD-01172,20220304,7,2,3,467,1279.28,597423.76,22,22,0,0,153
ORD-01765,20220305,1,5,5,66,225.72,14897.52,8,8,0,0,993
ORD-00099,20220306,5,2,2,475,1565.8,743755.0,5,5,0,0,648
ORD-00725,20220306,8,4,5,161,1833.97,295269.17,27,27,0,0,420
ORD-01929,20220307,4,3,2,15,66.71,1000.65,16,16,0,0,133
ORD-00909,20220308,7,4,5,346,1371.9,474677.4,31,31,0,0,639
ORD-00467,20220310,4,3,3,198,1405.75,278338.5,3,3,0,0,846
ORD-00809,20220310,8,2,4,434,689.15,299091.1,10,10,0,0,669
ORD-01358,20220310,4,2,3,145,1001.67,145242.15,7,7,0,0,822
ORD-00575,20220310,2,3,5,299,1716.74,513305.26,5,10,5,1,502
ORD-01098,20220310,4,1,5,397,1750.37,694896.89,19,19,0,0,689
ORD-00628,20220311,3,5,5,335,487.33,163255.55,38,38,0,0,983
ORD-01768,20220313,1,1,4,475,1217.34,578236.5,30,30,0,0,186
ORD-00766,20220313,7,3,3,258,635.95,164075.1,3,5,2,1,85
ORD-00005,20220313,2,2,2,314,820.14,257523.96,28,28,0,0,188
ORD-01818,20220314,1,1,2,87,1864.21,162186.27,43,43,0,0,661
ORD-01373,20220314,1,3,1,333,1972.83,656952.39,19,19,0,0,371
ORD-00849,20220314,6,2,5,369,271.25,100091.25,18,22,4,1,894
ORD-00600,20220315,6,3,2,414,280.81,116255.34,12,18,6,1,418
ORD-01154,20220316,7,2,4,410,744.91,305413.1,20,28,8,1,846
ORD-00955,20220316,8,3,4,365,1553.52,567034.8,36,36,0,0,491
ORD-00530,20220316,1,2,5,405,1868.65,756803.25,5,5,0,0,806
ORD-00784,20220316,9,3,1,367,1755.11,644125.37,30,30,0,0,297
ORD-01704,20220316,9,5,2,263,1558.27,409825.01,25,25,0,0,746
ORD-01308,20220316,10,5,1,262,612.0,160344.0,23,23,0,0,33
ORD-00566,20220317,1,1,5,32,1193.96,38206.72,16,21,5,1,789
ORD-00459,20220317,6,2,2,122,80.91,9871.02,7,7,0,0,152
ORD-01243,20220319,6,4,1,162,1885.21,305404.02,42,42,0,0,979
ORD-01027,20220319,8,4,4,197,115.62,22777.14,28,28,0,0,565
ORD-00875,20220319,2,5,4,287,709.37,203589.19,36,36,0,0,377
ORD-00847,20220319,5,1,1,97,847.99,82255.03,30,30,0,0,984
ORD-00754,20220319,1,3,2,339,248.81,84346.59,12,12,0,0,707
ORD-01690,20220320,7,1,3,306,1523.79,466279.74,40,54,14,1,459
ORD-00666,20220321,4,4,1,419,1549.51,649244.69,18,18,0,0,299
ORD-00066,20220322,6,2,1,313,1946.62,609292.06,35,45,10,1,619
ORD-01406,20220322,3,5,4,210,983.99,206637.9,18,18,0,0,696
ORD-00802,20220322,7,5,4,148,1426.47,211117.56,8,8,0,0,857
ORD-00210,20220322,9,1,5,124,1992.78,247104.72,44,44,0,0,492
ORD-01630,20220323,8,4,2,266,1643.95,437290.7,14,16,2,1,72
ORD-01263,20220323,7,2,1,203,1721.53,349470.59,39,39,0,0,340
ORD-00751,20220324,2,2,4,130,641.82,83436.6,17,17,0,0,924
ORD-01707,20220325,6,5,3,440,1145.86,504178.4,21,21,0,0,73
ORD-01717,20220325,7,5,2,384,1086.62,417262.08,30,35,5,1,312
ORD-01828,20220325,10,5,2,363,137.98,50086.74,30,36,6,1,465
ORD-01178,20220325,8,4,4,335,53.08,17781.8,23,35,12,1,45
ORD-01835,20220325,3,5,5,82,1480.56,121405.92,27,34,7,1,738
ORD-01925,20220325,3,1,5,32,1222.65,39124.8,6,6,0,0,657
ORD-00753,20220326,7,4,2,211,1982.56,418320.16,31,31,0,0,300
ORD-01256,20220326,1,3,3,178,1584.59,282057.02,9,15,6,1,922
ORD-00899,20220327,6,5,4,345,763.54,263421.3,25,26,1,1,300
ORD-01794,20220327,4,3,1,360,863.25,310770.0,20,20,0,0,824
ORD-00158,20220327,9,3,4,251,698.83,175406.33,42,42,0,0,743
ORD-01425,20220327,10,5,1,459,382.22,175438.98,14,14,0,0,362
ORD-00463,20220327,2,1,1,321,594.97,190985.37,10,10,0,0,348
ORD-01846,20220328,8,2,3,262,929.62,243560.44,28,28,0,0,566
ORD-01222,20220328,6,1,2,256,158.71,40629.76,9,17,8,1,380
ORD-01785,20220329,10,2,4,336,1065.11,357876.96,21,21,0,0,357
ORD-01242,20220329,4,2,3,423,1802.3,762372.9,37,37,0,0,296
ORD-00014,20220329,2,1,3,302,687.21,207537.42,31,31,0,0,63
ORD-01414,20220330,5,5,5,42,1865.68,78358.56,23,23,0,0,541
ORD-01033,20220330,6,1,5,114,1459.71,166406.94,32,32,0,0,867
ORD-01553,20220330,8,1,4,421,336.47,141653.87,41,41,0,0,491
ORD-00698,20220331,9,2,4,422,1590.04,670996.88,43,43,0,0,289
ORD-00520,20220331,6,3,5,281,710.56,199667.36,25,25,0,0,165
ORD-01808,20220331,2,5,1,445,1436.7,639331.5,24,24,0,0,147
ORD-00981,20220331,2,4,5,496,660.89,327801.44,39,39,0,0,44
ORD-00634,20220401,6,4,5,295,1150.18,339303.1,21,21,0,0,690
ORD-00398,20220402,3,2,4,15,992.87,14893.05,10,11,1,1,890
ORD-01795,20220402,7,2,3,189,1344.41,254093.49,27,27,0,0,548
ORD-00059,20220402,7,4,5,412,834.67,343884.04,8,15,7,1,494
ORD-01603,20220402,8,5,4,315,331.13,104305.95,39,39,0,0,839
ORD-01872,20220403,8,1,3,205,884.82,181388.1,22,22,0,0,522
ORD-00828,20220403,5,3,1,332,1089.11,361584.52,4,7,3,1,260
ORD-00469,20220404,3,3,1,431,1297.56,559248.36,19,19,0,0,777
ORD-00819,20220405,9,1,1,275,458.18,125999.5,24,24,0,0,420
ORD-01005,20220405,8,1,4,141,1992.37,280924.17,40,40,0,0,849
ORD-01094,20220405,9,1,1,304,74.23,22565.92,16,29,13,1,316
ORD-00765,20220405,3,5,2,195,833.01,162436.95,30,30,0,0,613
ORD-00543,20220406,9,1,4,320,1226.98,392633.6,29,29,0,0,476
ORD-00446,20220406,8,3,5,171,950.75,162578.25,25,25,0,0,402
ORD-01241,20220406,4,3,4,473,1608.51,760825.23,25,25,0,0,902
ORD-00146,20220406,2,1,4,307,1634.59,501819.13,26,26,0,0,817
ORD-01070,20220407,8,1,5,163,255.52,41649.76,22,22,0,0,368
ORD-01449,20220408,3,1,2,24,860.57,20653.68,27,27,0,0,755
ORD-01353,20220408,1,3,4,62,1655.37,102632.94,27,27,0,0,94
ORD-00790,20220408,4,3,5,202,152.88,30881.76,9,9,0,0,655
ORD-00349,20220409,3,4,2,346,1482.96,513104.16,15,15,0,0,957
ORD-00541,20220409,3,3,4,125,564.03,70503.75,16,16,0,0,529
ORD-00126,20220409,9,5,5,362,369.04,133592.48,38,44,6,1,397
ORD-01541,20220409,10,2,5,131,1931.01,252962.31,29,29,0,0,658
ORD-01698,20220409,1,5,1,26,1974.81,51345.06,13,13,0,0,31
ORD-00576,20220409,8,5,2,464,1862.69,864288.16,3,3,0,0,869
ORD-00298,20220409,5,4,5,152,1886.54,286754.08,11,11,0,0,176
ORD-00737,20220409,9,5,3,165,1685.99,278188.35,10,10,0,0,148
ORD-00357,20220409,7,1,4,145,1554.56,225411.2,37,37,0,0,466
ORD-00278,20220409,7,3,4,241,1699.63,409610.83,6,6,0,0,114
ORD-00016,20220410,6,5,5,16,205.33,3285.28,5,19,14,1,642
ORD-00483,20220410,1,4,3,54,801.07,43257.78,16,16,0,0,990
ORD-01908,20220410,6,3,4,111,670.6,74436.6,21,21,0,0,998
ORD-01391,20220412,1,1,3,284,788.35,223891.4,15,29,14,1,350
ORD-01780,20220412,10,3,1,244,130.92,31944.48,36,36,0,0,349
ORD-00422,20220413,4,4,5,130,678.41,88193.3,32,32,0,0,837
ORD-00786,20220413,2,3,2,463,1565.55,724849.65,11,18,7,1,508
ORD-00001,20220413,7,1,5,484,908.43,439680.12,25,37,12,1,687
ORD-01805,20220413,9,2,5,478,620.59,296642.02,17,19,2,1,28
ORD-01050,20220414,5,3,2,69,89.55,6178.95,7,7,0,0,519
ORD-00292,20220414,3,4,5,424,1554.98,659311.52,11,11,0,0,29
ORD-00378,20220414,4,5,2,114,841.91,95977.74,14,14,0,0,479
ORD-00736,20220415,6,3,4,21,679.99,14279.79,20,20,0,0,616
ORD-00800,20220416,6,4,2,48,906.13,43494.24,35,35,0,0,998
ORD-01812,20220416,3,2,3,232,1633.04,378865.28,17,17,0,0,861
ORD-00072,20220416,2,3,2,117,1235.01,144496.17,39,39,0,0,644
ORD-01122,20220416,1,5,1,250,1394.03,348507.5,43,43,0,0,29
ORD-00430,20220416,5,5,4,323,1862.54,601600.42,23,36,13,1,760
ORD-00857,20220417,10,4,1,307,884.43,271520.01,15,15,0,0,673
ORD-01530,20220417,3,5,4,280,734.93,205780.4,3,3,0,0,36
ORD-00004,20220417,5,1,1,490,1275.42,624955.8,32,32,0,0,142
ORD-01957,20220417,2,1,4,122,1416.6,172825.2,22,22,0,0,545
ORD-01387,20220418,7,4,5,342,1896.73,648681.66,16,16,0,0,749
ORD-01465,20220418,9,2,5,239,1700.79,406488.81,42,42,0,0,30
ORD-00911,20220419,3,5,3,63,986.18,62129.34,26,29,3,1,261
ORD-00586,20220419,5,2,3,24,454.57,10909.68,5,5,0,0,217
ORD-01305,20220419,10,4,3,172,1986.02,341595.44,15,15,0,0,730
ORD-00816,20220421,1,1,3,320,69.2,22144.0,21,21,0,0,619
ORD-00915,20220421,6,2,4,294,227.94,67014.36,6,6,0,0,648
ORD-01830,20220421,2,3,1,35,1425.7,49899.5,20,20,0,0,406
ORD-00913,20220421,8,2,2,51,1457.86,74350.86,22,26,4,1,573
ORD-00295,20220422,8,2,4,293,1924.6,563907.8,26,26,0,0,747
ORD-00207,20220423,1,4,2,275,1968.28,541277.0,14,14,0,0,965
ORD-00977,20220423,7,5,5,281,1952.13,548548.53,19,19,0,0,367
ORD-00199,20220423,7,1,3,453,1675.47,758987.91,33,33,0,0,521
ORD-01211,20220423,3,4,4,322,1386.93,446591.46,17,17,0,0,492
ORD-01641,20220423,10,2,3,230,821.19,188873.7,17,22,5,1,415
ORD-00212,20220423,9,5,1,150,1241.37,186205.5,31,31,0,0,17
ORD-01349,20220423,9,4,4,489,835.29,408456.81,17,17,0,0,543
ORD-01212,20220424,6,5,1,187,1529.83,286078.21,17,26,9,1,764
ORD-01585,20220424,10,1,4,374,1349.94,504877.56,24,37,13,1,350
ORD-01591,20220425,3,2,4,103,632.95,65193.85,12,12,0,0,51
ORD-01289,20220425,3,1,1,202,1481.51,299265.02,27,27,0,0,726
ORD-00524,20220425,4,3,1,189,1851.3,349895.7,12,12,0,0,511
ORD-00359,20220426,10,3,4,371,1621.21,601468.91,35,35,0,0,640
ORD-01803,20220426,4,3,4,271,1687.54,457323.34,18,18,0,0,982
ORD-00658,20220427,1,3,1,296,1631.62,482959.52,5,5,0,0,890
ORD-01760,20220427,3,3,4,227,1533.33,348065.91,8,20,12,1,730
ORD-01148,20220427,2,3,4,324,587.14,190233.36,4,4,0,0,233
ORD-00439,20220427,9,4,4,388,1452.03,563387.64,12,12,0,0,806
ORD-01891,20220427,10,5,5,249,1091.16,271698.84,4,4,0,0,765
ORD-00973,20220428,4,3,4,248,535.95,132915.6,19,22,3,1,121
ORD-00772,20220428,1,1,5,443,706.1,312802.3,3,3,0,0,111
ORD-00448,20220428,4,2,1,383,1800.25,689495.75,23,28,5,1,190
ORD-01079,20220428,7,1,3,213,1812.05,385966.65,41,41,0,0,33
ORD-00958,20220428,1,3,5,54,961.8,51937.2,25,25,0,0,925
ORD-01977,20220429,6,5,4,451,1065.62,480594.62,32,37,5,1,603
ORD-00723,20220429,5,2,4,393,86.91,34155.63,6,8,2,1,127
ORD-01270,20220429,9,5,1,470,367.41,172682.7,5,5,0,0,570
ORD-00434,20220430,1,4,2,447,1492.26,667040.22,29,29,0,0,839
